City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,12.12,96,91,2.24,NZ,1698225718
1,port-aux-francais,-49.35,70.2167,4.51,84,100,13.58,TF,1698225719
2,port mathurin,-19.6833,63.4167,24.72,80,12,7.01,MU,1698225719
3,asau,46.4333,26.4,17.51,53,91,6.67,RO,1698225720
4,papatowai,-46.5619,169.4708,16.43,57,100,4.32,NZ,1698225720
5,miyaly,48.8844,53.7836,5.93,63,100,7.55,KZ,1698225721
6,thompson,55.7435,-97.8558,-3.91,74,100,4.12,CA,1698225721
7,kokkola,63.8385,23.1307,-1.15,87,0,1.54,FI,1698225722
8,port saint john's,-31.6229,29.5448,21.54,55,0,3.92,ZA,1698225723
9,lundazi,-12.2929,33.1782,35.44,17,8,2.32,ZM,1698225723
10,bethel,41.3712,-73.414,10.96,88,0,0.0,US,1698225724
11,puerto natales,-51.7236,-72.4875,4.3,81,78,3.66,CL,1698225725
12,atafu village,-8.5421,-172.5159,29.28,74,6,6.88,TK,1698225726
13,invercargill,-46.4,168.35,16.68,65,94,5.81,NZ,1698225600
14,vorgashor,67.5833,63.95,-13.7,96,9,1.59,RU,1698225727
15,megion,61.0296,76.1136,-1.99,77,100,0.57,RU,1698225727
16,birobidzhan,48.8,132.95,8.79,61,43,0.95,RU,1698225728
17,kharabali,47.4196,47.2568,9.84,58,93,5.31,RU,1698225728
18,ngorongoro,-3.2397,35.4875,19.9,53,100,3.1,TZ,1698225729
19,adamstown,-25.066,-130.1015,22.16,84,3,4.38,PN,1698225730
20,bay harbor,30.1471,-85.6146,17.23,89,0,3.6,US,1698225730
21,alice springs,-23.7,133.8833,21.75,26,4,6.69,AU,1698225618
22,tazovsky,67.4667,78.7,-6.32,90,16,2.77,RU,1698225609
23,vila velha,-20.3297,-40.2925,23.97,88,0,3.09,BR,1698225488
24,turpan,42.9333,89.1667,22.62,24,0,1.55,CN,1698225732
25,albany,42.6001,-73.9662,8.82,86,1,1.47,US,1698225733
26,lompoc,34.6391,-120.4579,15.01,87,100,4.02,US,1698225733
27,west island,-12.1568,96.8225,27.99,74,40,6.17,CC,1698225734
28,north platte,41.1239,-100.7654,8.95,91,100,3.6,US,1698225734
29,bilibino,68.0546,166.4372,-17.02,99,27,2.01,RU,1698225735
30,chonchi,-42.6128,-73.8092,3.4,97,18,1.35,CL,1698225736
31,shimoda,34.6667,138.95,17.69,71,6,1.51,JP,1698225736
32,udachny,66.4167,112.4,-6.97,78,70,4.28,RU,1698225737
33,avarua,-21.2078,-159.775,21.03,56,75,1.03,CK,1698225737
34,cromer,52.9312,1.2989,9.48,81,98,1.92,GB,1698225738
35,hermanus,-34.4187,19.2345,19.21,60,34,3.34,ZA,1698225739
36,saipan,15.1355,145.701,28.39,83,20,3.6,MP,1698225739
37,cidreira,-30.1811,-50.2056,16.94,80,98,4.66,BR,1698225740
38,college,64.8569,-147.8028,-3.03,83,75,0.0,US,1698225551
39,blackmans bay,-43.0167,147.3167,7.07,76,47,1.34,AU,1698225741
40,bredasdorp,-34.5322,20.0403,20.07,54,26,4.22,ZA,1698225741
41,anadyr,64.75,177.4833,2.28,93,75,7.0,RU,1698225742
42,mount isa,-20.7333,139.5,32.87,14,0,6.69,AU,1698225527
43,kapuskasing,49.4169,-82.4331,4.05,100,100,3.09,CA,1698225743
44,chinchilla,-26.75,150.6333,30.22,22,4,4.8,AU,1698225743
45,mont-laurier,46.5501,-75.4993,9.79,94,100,1.83,CA,1698225744
46,ust-tsilma,65.441,52.1498,-1.88,80,100,4.47,RU,1698225745
47,labasa,-16.4167,179.3833,23.9,85,100,4.6,FJ,1698225745
48,grasse,43.6667,6.9167,16.81,60,0,3.6,FR,1698225746
49,qui nhon,13.7667,109.2333,27.86,80,80,2.9,VN,1698225746
50,urbana,40.1106,-88.2073,18.06,75,100,4.63,US,1698225611
51,isafjordur,66.0755,-23.124,0.02,86,0,0.51,IS,1698225747
52,ribeira grande,38.5167,-28.7,21.54,94,75,9.26,PT,1698225748
53,northam,51.0333,-4.2167,11.45,91,98,3.52,GB,1698225748
54,yellowknife,62.456,-114.3525,-4.77,95,100,3.6,CA,1698225749
55,grytviken,-54.2811,-36.5092,2.09,86,96,5.25,GS,1698225749
56,hadibu,12.65,54.0333,28.49,73,72,6.61,YE,1698225750
57,tralee,52.2704,-9.7026,9.14,93,75,5.66,IE,1698225527
58,dryden,49.7833,-92.7503,1.16,93,100,1.54,CA,1698225751
59,uturoa,-16.7333,-151.4333,26.82,73,73,4.81,PF,1698225752
60,edinburgh of the seven seas,-37.0676,-12.3116,10.4,76,47,10.92,SH,1698225753
61,freeport,40.6576,-73.5832,13.2,85,0,3.6,US,1698225753
62,mananjary,-21.2167,48.3333,29.69,62,1,3.92,MG,1698225754
63,aguie,13.506,7.7786,31.71,9,95,3.86,NE,1698225755
64,margaret river,-33.95,115.0667,21.89,48,56,3.97,AU,1698225755
65,westerland,54.9079,8.3033,11.01,93,40,7.72,DE,1698225756
66,murzuq,25.9155,13.9184,29.23,18,1,3.27,LY,1698225725
67,wau,7.7029,27.9953,28.54,65,100,1.46,SS,1698225757
68,sabac,44.7467,19.69,22.19,43,1,5.36,RS,1698225757
69,miri,4.4148,114.0089,31.08,62,40,2.57,MY,1698225758
70,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,78,100,2.68,RU,1698225758
71,richards bay,-28.783,32.0377,23.74,56,4,5.24,ZA,1698225562
72,badger,64.8,-147.5333,-3.07,87,100,0.0,US,1698225760
73,panjakent,39.4952,67.6093,20.64,30,48,2.57,TJ,1698225761
74,freetown,8.484,-13.2299,23.84,94,75,2.06,SL,1698225761
75,constantia,44.1833,28.65,23.38,63,100,6.43,RO,1698225762
76,sinop,41.7711,34.8709,16.24,47,100,2.53,TR,1698225762
77,forrest city,35.0081,-90.7898,21.36,61,4,5.34,US,1698225763
78,kaohsiung,22.6163,120.3133,28.97,72,40,3.6,TW,1698225764
79,xiongzhou,25.1167,114.3,28.15,70,33,0.84,CN,1698225764
80,prado,-17.3411,-39.2208,23.13,87,44,5.49,BR,1698225765
81,quellon,-43.1167,-73.6167,6.33,91,30,2.01,CL,1698225765
82,dakhla,23.6848,-15.958,21.01,64,0,9.26,EH,1698225766
83,n'dalatando,-9.2978,14.9116,28.69,54,87,0.5,AO,1698225766
84,stanley,54.868,-1.6985,9.32,96,100,3.09,GB,1698225767
85,escanaba,45.7453,-87.0646,14.17,100,100,2.06,US,1698225768
86,abepura,-2.6333,140.5833,28.45,65,20,2.06,ID,1698225768
87,ilulissat,69.2167,-51.1,-3.99,63,100,12.35,GL,1698225769
88,wad medani,14.4012,33.5199,35.79,32,22,2.93,SD,1698225769
89,jamestown,42.097,-79.2353,19.77,54,40,4.12,US,1698225620
90,awjilah,29.1081,21.2869,28.51,25,0,0.78,LY,1698225770
91,calama,-22.4667,-68.9333,12.79,29,8,2.66,CL,1698225772
92,ishigaki,24.3448,124.1572,26.07,78,40,6.69,JP,1698225772
93,georgetown,5.4112,100.3354,28.97,78,40,4.12,MY,1698225666
94,enewetak,11.3474,162.3373,28.86,78,95,6.79,MH,1698225677
95,mandera,3.9366,41.867,32.31,48,30,4.97,KE,1698225774
96,iskateley,67.6803,53.1512,-0.55,96,100,6.71,RU,1698225775
97,bad durrenberg,51.3,12.0667,14.97,82,0,2.57,DE,1698225775
98,zmeinogorsk,51.1567,82.195,10.03,41,100,9.25,RU,1698225776
99,damghan,36.1683,54.348,21.84,28,100,0.63,IR,1698225776
100,dawei,14.0833,98.2,28.89,77,93,1.05,MM,1698225777
101,ushuaia,-54.8,-68.3,5.81,61,20,1.03,AR,1698225778
102,qaqortoq,60.7167,-46.0333,-0.11,53,7,3.08,GL,1698225778
103,port alfred,-33.5906,26.891,21.21,68,5,2.68,ZA,1698225779
104,vilyuchinsk,52.9306,158.4028,5.15,84,100,1.44,RU,1698225779
105,grand-lahou,5.1367,-5.0242,26.58,79,72,3.11,CI,1698225780
106,mohr,54.3528,9.7167,9.52,94,75,4.12,DE,1698225780
107,conde,-7.2597,-34.9075,22.7,94,40,1.54,BR,1698225488
108,revda,56.801,59.9303,-1.21,63,14,3.73,RU,1698225781
109,san patricio,28.017,-97.5169,27.13,83,5,6.25,US,1698225782
110,argenton-sur-creuse,46.59,1.5198,15.19,90,100,8.25,FR,1698225783
111,st. john's,47.5649,-52.7093,6.2,90,75,9.26,CA,1698225783
112,sitka,57.0531,-135.33,1.94,60,0,0.0,US,1698225784
